id,fid,queimada,latitude,longitude,epsg,swir22_last,nir08_last,ndvi_last
987023,987023,0,-16.060597908828722,-47.32337417063573,4326,2744,3158,2591
988021,988021,0,-16.060608490579952,-47.32239902619371,4326,3008,3522,2263
989019,989019,0,-16.060619067908274,-47.32142388008905,4326,2693,3201,2447
990017,990017,0,-16.0606296407934,-47.32044873419039,4326,2488,3090,2578
991015,991015,0,-16.060640209245452,-47.319473587563856,4326,2520,3104,2485
992013,992013,0,-16.06065077326442,-47.31849844020978,4326,2458,3064,2590
993011,993011,0,-16.06066133285029,-47.31752329212844,4326,2407,3046,2620
994009,994009,0,-16.060671888003043,-47.31654814332016,4326,2364,3025,2702
995007,995007,0,-16.060682438722665,-47.31557299378522,4326,2569,3186,2516
1,1,0,-16.04796498785157,-48.28738618198491,4326,1199,2548,5831
999,999,0,-16.04797994561103,-48.28641190712536,4326,1004,2163,6093
1997,1997,0,-16.04799489895515,-48.28543763123634,4326,1215,1953,4880
2995,2995,0,-16.04800984788393,-48.28446335431812,4326,1153,1950,4959
3993,3993,0,-16.04802479239733,-48.28348907637104,4326,1065,2241,5972
4991,4991,0,-16.048039732495344,-48.28251479739537,4326,1185,2035,5102
5989,5989,0,-16.048054668177937,-48.28154051739144,4326,1462,2116,4689
6987,6987,0,-16.048069599459406,-48.2805662354262,4326,1232,2538,5962
7985,7985,0,-16.048084526311108,-48.27959195336664,4326,938,2765,7015
8983,8983,0,-16.04809944874734,-48.2786176702797,4326,3232,3307,2268
9981,9981,0,-16.048114366768072,-48.277643386165714,4326,1758,2631,4345
10979,10979,0,-16.04812928037329,-48.276669101024986,4326,1237,2532,5668
11977,11977,0,-16.048144189562965,-48.27569481485779,4326,1223,2492,5827
12975,12975,0,-16.04815909433708,-48.274720527664456,4326,1093,2799,5835
13973,13973,0,-16.04817399469562,-48.27374623944528,4326,2179,2623,2583
14971,14971,0,-16.048188890638556,-48.27277195020057,4326,2145,2737,3302
15969,15969,0,-16.048203782165867,-48.27179765993062,4326,2210,2839,2895
16967,16967,0,-16.048218669277542,-48.27082336863574,4326,2300,3208,2935
17965,17965,0,-16.048233551973553,-48.26984907631623,4326,2597,3446,2741
18963,18963,0,-16.048248430253878,-48.2688747829724,4326,1900,2462,3792
19961,19961,0,-16.048263304118496,-48.26790048860455,4326,1784,2603,3518
20959,20959,0,-16.048278173581632,-48.26692619227962,4326,1446,2515,4677
21957,21957,0,-16.04829303861477,-48.26595189586463,4326,2475,3574,3130
22955,22955,0,-16.048307899232142,-48.26497759842653,4326,892,2735,7008
23953,23953,0,-16.04832275543373,-48.26400329996563,4326,1578,2872,5745
24951,24951,0,-16.048337607219505,-48.26302900048223,4326,2581,2577,3242
25949,25949,0,-16.048352454589452,-48.262054699976616,4326,2038,2575,3873
26947,26947,0,-16.048367297543543,-48.26108039844912,4326,2392,2583,2979
27945,27945,0,-16.048382136081763,-48.26010609590003,4326,2264,2638,2670
28943,28943,0,-16.048396970204095,-48.25913179232965,4326,2040,2401,2583
29941,29941,0,-16.04841179991051,-48.25815748773828,4326,1701,2106,2607
30939,30939,0,-16.04842662520099,-48.25718318212624,4326,1556,2464,4100
31937,31937,0,-16.04844144607552,-48.25620887549381,4326,1622,2219,3829
32935,32935,0,-16.04845626253407,-48.25523456784131,4326,1502,2425,4529
33933,33933,0,-16.04847107457662,-48.25426025916904,4326,643,2520,7878
34931,34931,0,-16.048485882217342,-48.25328594854395,4326,611,2837,8297
35929,35929,0,-16.048500685427836,-48.252311637833046,4326,992,2708,6442
36927,36927,0,-16.048515484222268,-48.25133732610329,4326,1881,2178,3758
37925,37925,0,-16.048530278600627,-48.25036301335498,4326,2073,2160,3174
38923,38923,0,-16.048545068562884,-48.249388699588415,4326,1424,2580,4522
39921,39921,0,-16.048559854109012,-48.24841438480389,4326,1386,2637,4723
40919,40919,0,-16.048574635239014,-48.24744006900174,4326,1759,3236,3582
41917,41917,0,-16.04858941195284,-48.24646575218224,4326,2274,2709,3118
42915,42915,0,-16.048604184250486,-48.2454914343457,4326,1884,2056,3433
43913,43913,0,-16.048618952131932,-48.24451711549243,4326,2034,2109,3189
44911,44911,0,-16.048633715597152,-48.24354279562273,4326,1728,2219,4283
45909,45909,0,-16.048648474646125,-48.2425684747369,4326,1514,2172,5020
46907,46907,0,-16.04866322927883,-48.241594152835255,4326,1919,2337,2635
47905,47905,0,-16.04867797949525,-48.24061982991808,4326,2050,2227,2086
48903,48903,0,-16.04869272530949,-48.23964550505232,4326,2093,2310,2028
49901,49901,0,-16.048707466693273,-48.23867118010502,4326,1719,2504,3422
50899,50899,0,-16.048722203660702,-48.23769685414311,4326,1712,2219,3173
51897,51897,0,-16.048736936211768,-48.2367225271669,4326,2143,2390,2695
52895,52895,0,-16.048751664346444,-48.23574819917669,4326,2549,2603,2654
53893,53893,0,-16.04876638806471,-48.23477387017279,4326,2764,2665,2582
54891,54891,0,-16.04878110736654,-48.23379954015547,4326,2836,2705,2365
55889,55889,0,-16.04879582225192,-48.23282520912509,4326,2799,2748,2378
56887,56887,0,-16.04881053272083,-48.23185087708191,4326,2128,2084,2320
57885,57885,0,-16.048825238773244,-48.230876544026245,4326,2041,2250,2776
58883,58883,0,-16.048839940409145,-48.2299022099584,4326,1757,2604,4426
59881,59881,0,-16.048854637628512,-48.22892787487869,4326,1698,2521,4360
60879,60879,0,-16.048869330431327,-48.2279535387874,4326,1698,2678,4570
61877,61877,0,-16.048884018817567,-48.22697920168485,4326,728,3109,7786
62875,62875,0,-16.048898702801267,-48.226004862637936,4326,723,3207,7971
63873,63873,0,-16.04891338235429,-48.22503052351375,4326,737,3257,7905
64871,64871,0,-16.048928057490667,-48.22405618337922,4326,775,3356,7922
65869,65869,0,-16.048942728210402,-48.22308184223463,4326,1611,2258,4273
66867,66867,0,-16.048957394513444,-48.22210750008029,4326,1338,2191,5115
67865,67865,0,-16.04897205639979,-48.2211331569165,4326,1497,1967,3955
68863,68863,0,-16.04898671386942,-48.22015881274357,4326,1637,2466,4527
69861,69861,0,-16.049001366922315,-48.2191844675618,4326,1666,2531,4454
